Zaman(s);Hata_e(t);Cikis_u(t);Hiz(m/s)
7.4600;-3.2806;-5.1103;16.6532
7.4800;-3.1092;-5.0229;16.7643
7.5000;-2.8959;-4.7320;16.8596
7.5200;-2.6995;-4.5778;16.9225
7.5400;-2.5212;-4.4429;17.0047
7.5600;-2.3277;-4.2251;17.0660
7.5800;-2.1438;-4.0668;17.1234
7.6000;-1.9582;-3.8836;17.1753
7.6200;-1.7796;-3.7245;17.2221
7.6400;-1.6097;-3.5774;17.2730
7.6600;-1.4282;-3.3769;17.3131
7.6800;-1.2635;-3.2507;17.3570
7.7000;-1.1028;-3.1018;17.3796
7.7200;-0.9229;-2.8866;17.4143
7.7400;-0.7733;-2.8017;17.4391
7.7600;-0.6306;-2.6758;17.4602
7.7800;-0.4587;-2.4467;17.4790
7.8000;-0.3221;-2.3845;17.4958
7.8200;-0.1592;-2.1697;17.5109
7.8400;-0.0305;-2.1124;17.5245
7.8600;0.0982;-1.9844;17.5325
7.8800;0.2477;-1.7937;17.5472
7.9000;0.3609;-1.7550;17.5536
7.9200;0.4742;-1.6414;17.5663
7.9400;0.6100;-1.4603;17.5749
7.9600;0.7178;-1.4089;17.5821
7.9800;0.8263;-1.2986;17.5885
8.0000;0.9454;-1.1571;17.5942
8.0200;1.0447;-1.0970;17.5994
8.0400;1.1430;-0.9996;17.6041
8.0600;1.2454;-0.8873;17.6166
8.0800;1.3314;-0.8328;17.5927
8.1000;1.4225;-0.7295;17.5936
8.1200;1.5077;-0.6541;17.5979
8.1400;1.5922;-0.5687;17.6025
8.1600;1.6597;-0.5334;17.6068
8.1800;1.7370;-0.4332;17.6107
8.2000;1.8108;-0.3637;17.6141
8.2200;1.8661;-0.3432;17.6173
8.2400;1.9381;-0.2336;17.6201
8.2600;2.0104;-0.1577;17.6227
8.2800;2.0436;-0.2004;17.6250
8.3000;2.1123;-0.0555;17.6270
8.3200;2.1763;0.0022;17.6289
8.3400;2.1972;-0.0603;17.6306
8.3600;2.2612;0.0953;17.6321
8.3800;2.3207;0.1498;17.6334
8.4000;2.3220;0.0370;17.6346
8.4200;2.3895;0.2435;17.6357
8.4400;2.4474;0.2861;17.6368
8.4600;2.4322;0.1270;17.6376
8.4800;2.4935;0.3486;17.6384
8.5000;2.4730;0.1664;17.6392
8.5200;2.5314;0.3903;17.6398
8.5400;2.5801;0.4239;17.6404
8.5600;2.5432;0.2177;17.6409
8.5800;2.6051;0.4859;17.6414
8.6000;2.6495;0.4993;17.6418
8.6200;2.6033;0.2740;17.6422
8.6400;2.6585;0.5408;17.6425
8.6600;2.7015;0.5640;17.6428
8.6800;2.6412;0.2986;17.6432
8.7000;2.6963;0.5943;17.6433
8.7200;2.7419;0.6254;17.6436
8.7400;2.6646;0.3035;17.6438
8.7600;2.7249;0.6492;17.6440
8.7800;2.7684;0.6637;17.6441
8.8000;2.6798;0.3119;17.6443
8.8200;2.7416;0.6853;17.6444
8.8400;2.6551;0.3024;17.6445
8.8600;2.7137;0.6618;17.6447
8.8800;2.7515;0.6624;17.6447
8.9000;2.6526;0.2911;17.6448
